project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,fitness,period
elastic-job-lite_dot,1-0,1,{'01noThrottling.sh': 1},39.28306896551734,39.28306896551734,0.7628771993103466,0.0,0,0.2836431266664279,0.030951499938964844
elastic-job-lite_dot,1-0.2,1,{'01noThrottling.sh': 1},39.28306896551734,39.28306896551734,0.7628771993103466,0.0,0,0.2836431266664279,0.029808998107910156
elastic-job-lite_dot,1-0.4,1,{'01noThrottling.sh': 1},39.28306896551734,39.28306896551734,0.7628771993103466,0.0,0,0.2836431266664279,0.02985382080078125
elastic-job-lite_dot,1-0.6,1,{'01noThrottling.sh': 1},39.28306896551734,39.28306896551734,0.7628771993103466,0.0,0,0.2836431266664279,0.03013300895690918
elastic-job-lite_dot,1-0.8,1,{'01noThrottling.sh': 1},39.28306896551734,39.28306896551734,0.7628771993103466,0.0,0,0.2836431266664279,0.048795461654663086
elastic-job-lite_dot,1-1,1,{'01noThrottling.sh': 1},39.28306896551734,39.28306896551734,0.7628771993103466,0.0,0,0.2836431266664279,0.042455196380615234
elastic-job-lite_dot,2-0,1,{'01noThrottling.sh': 2},56.33586206896564,28.167934482758668,1.0940424413793126,0.0,0,0.20338637532210282,0.2586860656738281
elastic-job-lite_dot,2-0.2,1,{'01noThrottling.sh': 2},56.33586206896564,28.167934482758668,1.0940424413793126,0.0,0,0.20338637532210282,0.2503228187561035
elastic-job-lite_dot,2-0.4,1,{'01noThrottling.sh': 2},56.33586206896564,28.167934482758668,1.0940424413793126,0.0,0,0.20338637532210282,0.25266218185424805
elastic-job-lite_dot,2-0.6,1,{'01noThrottling.sh': 2},56.33586206896564,28.167934482758668,1.0940424413793126,0.0,0,0.20338637532210282,0.25231218338012695
elastic-job-lite_dot,2-0.8,1,{'01noThrottling.sh': 2},56.33586206896564,28.167934482758668,1.0940424413793126,0.0,0,0.20338637532210282,0.2528707981109619
elastic-job-lite_dot,2-1,1,{'01noThrottling.sh': 2},56.33586206896564,28.167934482758668,1.0940424413793126,0.0,0,0.20338637532210282,0.25421714782714844
elastic-job-lite_dot,4-0,3,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",105.10532758620704,27.078951724137966,1.7782088637471287,0.0,0,0.19552338287586232,9.127397775650024
elastic-job-lite_dot,4-0.2,3,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",105.10532758620704,27.078951724137966,1.7782088637471287,0.0,0,0.19552338287586232,8.853196620941162
elastic-job-lite_dot,4-0.4,3,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",105.10532758620704,27.078951724137966,1.7782088637471287,0.0,0,0.19552338287586232,8.838424444198608
elastic-job-lite_dot,4-0.6,3,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",105.10532758620704,27.078951724137966,1.7782088637471287,0.0,0,0.19552338287586232,8.773986339569092
elastic-job-lite_dot,4-0.8,3,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",105.10532758620704,27.078951724137966,1.7782088637471287,0.0,0,0.19552338287586232,8.800612926483154
elastic-job-lite_dot,4-1,3,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",105.10532758620704,27.078951724137966,1.7782088637471287,0.0,0,0.19552338287586232,8.827642917633057
elastic-job-lite_dot,6-0,5,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",154.34302068965533,27.078951724137966,2.1684096514137954,0.0,0,0.19552338287586232,1358.2740263938904
elastic-job-lite_dot,6-0.2,5,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",154.34302068965533,27.078951724137966,2.1684096514137954,0.0,0,0.19552338287586232,1366.39484167099
elastic-job-lite_dot,6-0.4,5,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",154.34302068965533,27.078951724137966,2.1684096514137954,0.0,0,0.19552338287586232,1383.3317368030548
elastic-job-lite_dot,6-0.6,5,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",154.34302068965533,27.078951724137966,2.1684096514137954,0.0,0,0.19552338287586232,1324.9242734909058
elastic-job-lite_dot,6-0.8,5,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",154.34302068965533,27.078951724137966,2.1684096514137954,0.0,0,0.19552338287586232,1283.2937035560608
elastic-job-lite_dot,6-1,5,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",154.34302068965533,27.078951724137966,2.1684096514137954,0.0,0,0.19552338287586232,1291.2846784591675
