project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,period
assertj-core_dot,1-0-cheap,,,,,,,,0.32817792892456055
assertj-core_dot,1-0-fast,,,,,,,,0.17060136795043945
assertj-core_dot,2-0-cheap,,,,,,,,0.9971661567687988
assertj-core_dot,2-0-fast,,,,,,,,1.1538879871368408
assertj-core_dot,4-0-cheap,,,,,,,,15.208354473114014
assertj-core_dot,4-0-fast,,,,,,,,19.574721336364746
assertj-core_dot,6-0-cheap,,,,,,,,32.031205892562866
assertj-core_dot,6-0-fast,,,,,,,,36.08297896385193
assertj-core_dot,8-0-cheap,,,,,,,,44.71919298171997
assertj-core_dot,8-0-fast,,,,,,,,49.7758629322052
assertj-core_dot,10-0-cheap,,,,,,,,50.25054335594177
assertj-core_dot,10-0-fast,,,,,,,,63.68994355201721
assertj-core_dot,12-0-cheap,,,,,,,,62.4598548412323
assertj-core_dot,12-0-fast,,,,,,,,74.09222865104675
