project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,period
delight-nashorn-sandbox_dot,1-0-cheap,1,{'29CPU4Mem8GB.sh': 1},16.57118333333332,16.57118333333332,0.07260987641270002,0.0,0,0.025110721588134766
delight-nashorn-sandbox_dot,1-0-fast,1,{'29CPU4Mem8GB.sh': 1},16.57118333333332,16.57118333333332,0.07260987641270002,0.0,0,0.020947694778442383
delight-nashorn-sandbox_dot,2-0-cheap,1,{'29CPU4Mem8GB.sh': 2},18.44131333333332,10.92355666666666,0.07264065251873335,0.0,0,0.06199932098388672
delight-nashorn-sandbox_dot,2-0-fast,2,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",18.969824362416098,11.218354362416106,0.05148943197425098,0.0,0,0.049147844314575195
delight-nashorn-sandbox_dot,4-0-cheap,1,{'29CPU4Mem8GB.sh': 4},22.181573333333304,8.398789999999991,0.07270220473080001,0.0,0,0.07689023017883301
delight-nashorn-sandbox_dot,4-0-fast,2,"{'29CPU4Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 2}",22.80610205816553,8.568643333333327,0.060449941423501935,0.0,0,0.08131527900695801
delight-nashorn-sandbox_dot,6-0-cheap,1,{'29CPU4Mem8GB.sh': 6},25.921833333333286,7.573153333333325,0.07276375694286669,0.0,0,0.11557149887084961
delight-nashorn-sandbox_dot,6-0-fast,2,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 5}",27.68280847874718,7.89977769574944,0.04278863764878819,0.0,0,0.13856935501098633
delight-nashorn-sandbox_dot,8-0-cheap,1,{'29CPU4Mem8GB.sh': 8},29.662093333333274,7.124116666666659,0.07282530915493335,0.0,0,0.15620708465576172
delight-nashorn-sandbox_dot,8-0-fast,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 7}",32.52717119466078,7.524137695749438,0.038615185683843534,0.0,0,0.16121172904968262
delight-nashorn-sandbox_dot,10-0-cheap,1,{'29CPU4Mem8GB.sh': 10},33.40235333333325,6.838746666666658,0.07288686136700001,0.0,0,0.1417553424835205
delight-nashorn-sandbox_dot,10-0-fast,1,{'29CPU4Mem8GB.sh': 10},33.40235333333325,6.838746666666658,0.07288686136700001,0.0,0,0.16078877449035645
delight-nashorn-sandbox_dot,12-0-cheap,1,{'29CPU4Mem8GB.sh': 12},37.142613333333244,6.683126666666658,0.07294841357906667,0.0,0,0.2359330654144287
delight-nashorn-sandbox_dot,12-0-fast,2,"{'29CPU4Mem8GB.sh': 7, '26CPU2Mem4GB.sh': 5}",38.43697514541379,6.781633333333325,0.06432043795498817,0.0,0,0.18007922172546387
