project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,fitness,period
spring-boot_dot,1-0,1,{'27CPU2Mem8GB.sh': 1},93.87999999999968,93.87999999999968,0.9115747999999969,0.0,0,0.7713458528333307,0.09385561943054199
spring-boot_dot,1-0.2,1,{'26CPU2Mem4GB.sh': 1},92.47333333333347,92.47333333333347,0.7609014111111123,0.0,0.0033333333333332993,0.7049824011388899,0.12999939918518066
spring-boot_dot,1-0.4,1,{'26CPU2Mem4GB.sh': 1},92.47333333333347,92.47333333333347,0.7609014111111123,0.0,0.0033333333333332993,0.7049824011388899,0.1316511631011963
spring-boot_dot,1-0.6,1,{'26CPU2Mem4GB.sh': 1},92.47333333333347,92.47333333333347,0.7609014111111123,0.0,0.0033333333333332993,0.7049824011388899,0.1370084285736084
spring-boot_dot,1-0.8,1,{'26CPU2Mem4GB.sh': 1},92.47333333333347,92.47333333333347,0.7609014111111123,0.0,0.0033333333333332993,0.7049824011388899,0.13140535354614258
spring-boot_dot,1-1,1,{'26CPU2Mem4GB.sh': 1},92.47333333333347,92.47333333333347,0.7609014111111123,0.0,0.0033333333333332993,0.7049824011388899,0.12890052795410156
spring-boot_dot,2-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",112.05624991081382,88.64549657748053,0.9567231092050351,0.0,0,0.8681500682695914,0.7018287181854248
spring-boot_dot,2-0.2,1,{'26CPU2Mem4GB.sh': 2},111.47299324414665,82.18348999999947,0.9172369460772534,0.0,0.0033333333333332993,0.8498287625917127,1.2094197273254395
spring-boot_dot,2-0.4,1,{'26CPU2Mem4GB.sh': 2},111.47299324414665,82.18348999999947,0.9172369460772534,0.0,0.0033333333333332993,0.8498287625917127,0.8673632144927979
spring-boot_dot,2-0.6,1,{'26CPU2Mem4GB.sh': 2},111.47299324414665,82.18348999999947,0.9172369460772534,0.0,0.0033333333333332993,0.8498287625917127,0.937305212020874
spring-boot_dot,2-0.8,1,{'26CPU2Mem4GB.sh': 2},111.47299324414665,82.18348999999947,0.9172369460772534,0.0,0.0033333333333332993,0.8498287625917127,1.4011807441711426
spring-boot_dot,2-1,1,{'26CPU2Mem4GB.sh': 2},111.47299324414665,82.18348999999947,0.9172369460772534,0.0,0.0033333333333332993,0.8498287625917127,0.7904131412506104
spring-boot_dot,4-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3}",150.0555697324414,79.72933991081361,1.2693941791373273,0.0,0,1.1578427911752462,4.010397911071777
spring-boot_dot,4-0.2,1,{'26CPU2Mem4GB.sh': 4},149.4723130657749,83.31834991081365,1.229908016009551,0.0,0.0033333333333332993,1.1395214854973725,3.9181416034698486
spring-boot_dot,4-0.4,1,{'26CPU2Mem4GB.sh': 4},149.4723130657749,83.31834991081365,1.229908016009551,0.0,0.0033333333333332993,1.1395214854973725,4.119800090789795
spring-boot_dot,4-0.6,1,{'26CPU2Mem4GB.sh': 4},149.4723130657749,83.31834991081365,1.229908016009551,0.0,0.0033333333333332993,1.1395214854973725,4.463508605957031
spring-boot_dot,4-0.8,1,{'26CPU2Mem4GB.sh': 4},149.4723130657749,83.31834991081365,1.229908016009551,0.0,0.0033333333333332993,1.1395214854973725,4.40052342414856
spring-boot_dot,4-1,1,{'26CPU2Mem4GB.sh': 4},149.4723130657749,83.31834991081365,1.229908016009551,0.0,0.0033333333333332993,1.1395214854973725,3.7402586936950684
spring-boot_dot,6-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 5}",188.05488955406918,78.48557657748024,1.5820652490696214,0.0,0,1.4475355140809025,9.506128311157227
spring-boot_dot,6-0.2,1,{'26CPU2Mem4GB.sh': 6},187.4716328874028,79.36339991081367,1.5425790859418458,0.0,0.0033333333333332993,1.4292142084030297,7.142798662185669
spring-boot_dot,6-0.4,1,{'26CPU2Mem4GB.sh': 6},187.4716328874028,79.36339991081367,1.5425790859418458,0.0,0.0033333333333332993,1.4292142084030297,8.285642147064209
spring-boot_dot,6-0.6,1,{'26CPU2Mem4GB.sh': 6},187.4716328874028,79.36339991081367,1.5425790859418458,0.0,0.0033333333333332993,1.4292142084030297,8.00145173072815
spring-boot_dot,6-0.8,1,{'26CPU2Mem4GB.sh': 6},187.4716328874028,79.36339991081367,1.5425790859418458,0.0,0.0033333333333332993,1.4292142084030297,7.988041639328003
spring-boot_dot,6-1,1,{'26CPU2Mem4GB.sh': 6},187.4716328874028,79.36339991081367,1.5425790859418458,0.0,0.0033333333333332993,1.4292142084030297,8.027336359024048
spring-boot_dot,8-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 7}",226.054209375697,77.04851991081357,1.894736319001916,0.0,0,1.7372282369865595,13.977324724197388
spring-boot_dot,8-0.2,1,{'26CPU2Mem4GB.sh': 8},225.47095270903057,74.7974266666665,1.8552501558741399,0.0,0.0033333333333332993,1.718906931308686,9.764188051223755
spring-boot_dot,8-0.4,1,{'26CPU2Mem4GB.sh': 8},225.47095270903057,74.7974266666665,1.8552501558741399,0.0,0.0033333333333332993,1.718906931308686,10.750617742538452
spring-boot_dot,8-0.6,1,{'26CPU2Mem4GB.sh': 8},225.47095270903057,74.7974266666665,1.8552501558741399,0.0,0.0033333333333332993,1.718906931308686,11.796736001968384
spring-boot_dot,8-0.8,1,{'26CPU2Mem4GB.sh': 8},225.47095270903057,74.7974266666665,1.8552501558741399,0.0,0.0033333333333332993,1.718906931308686,10.926570415496826
spring-boot_dot,8-1,1,{'26CPU2Mem4GB.sh': 8},225.47095270903057,74.7974266666665,1.8552501558741399,0.0,0.0033333333333332993,1.718906931308686,11.033712148666382
spring-boot_dot,10-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 9}",264.053529197325,73.64052991081374,2.2074073889342114,0.0,0,2.0269209598922173,21.027233362197876
spring-boot_dot,10-0.2,1,{'26CPU2Mem4GB.sh': 10},263.4702725306586,77.72839666666663,2.1679212258064355,0.0,0.0033333333333332993,2.0085996542143443,14.481698513031006
spring-boot_dot,10-0.4,1,{'26CPU2Mem4GB.sh': 10},263.4702725306586,77.72839666666663,2.1679212258064355,0.0,0.0033333333333332993,2.0085996542143443,13.480138063430786
spring-boot_dot,10-0.6,1,{'26CPU2Mem4GB.sh': 10},263.4702725306586,77.72839666666663,2.1679212258064355,0.0,0.0033333333333332993,2.0085996542143443,14.251725435256958
spring-boot_dot,10-0.8,1,{'26CPU2Mem4GB.sh': 10},263.4702725306586,77.72839666666663,2.1679212258064355,0.0,0.0033333333333332993,2.0085996542143443,14.456411123275757
spring-boot_dot,10-1,1,{'26CPU2Mem4GB.sh': 10},263.4702725306586,77.72839666666663,2.1679212258064355,0.0,0.0033333333333332993,2.0085996542143443,16.498139142990112
spring-boot_dot,12-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 11}",302.0528490189528,81.54873324414704,2.5200784588665055,0.0,0,2.3166136827978736,29.741745948791504
spring-boot_dot,12-0.2,1,{'26CPU2Mem4GB.sh': 12},301.4695923522864,83.19754666666658,2.48059229573873,0.0,0.0033333333333332993,2.2982923771200006,18.232009649276733
spring-boot_dot,12-0.4,1,{'26CPU2Mem4GB.sh': 12},301.4695923522864,83.19754666666658,2.48059229573873,0.0,0.0033333333333332993,2.2982923771200006,20.181126594543457
spring-boot_dot,12-0.6,1,{'26CPU2Mem4GB.sh': 12},301.4695923522864,83.19754666666658,2.48059229573873,0.0,0.0033333333333332993,2.2982923771200006,19.872897148132324
spring-boot_dot,12-0.8,1,{'26CPU2Mem4GB.sh': 12},301.4695923522864,83.19754666666658,2.48059229573873,0.0,0.0033333333333332993,2.2982923771200006,22.95389461517334
spring-boot_dot,12-1,1,{'26CPU2Mem4GB.sh': 12},301.4695923522864,83.19754666666658,2.48059229573873,0.0,0.0033333333333332993,2.2982923771200006,18.10412335395813
