project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,fitness,period
delight-nashorn-sandbox_dot,1-0,1,{'29CPU4Mem8GB.sh': 1},16.57118333333332,16.57118333333332,0.2727064403888887,0.0,0,0.1502629794223147,0.014080047607421875
delight-nashorn-sandbox_dot,1-0.2,1,{'26CPU2Mem4GB.sh': 1},17.463886666666667,17.463886666666667,0.1436986807888889,0.0,0.00666666666666671,0.1296180340775185,0.004685878753662109
delight-nashorn-sandbox_dot,1-0.4,1,{'26CPU2Mem4GB.sh': 1},17.463886666666667,17.463886666666667,0.1436986807888889,0.0,0.00666666666666671,0.1296180340775185,0.007741212844848633
delight-nashorn-sandbox_dot,1-0.6,1,{'26CPU2Mem4GB.sh': 1},17.463886666666667,17.463886666666667,0.1436986807888889,0.0,0.00666666666666671,0.1296180340775185,0.016957521438598633
delight-nashorn-sandbox_dot,1-0.8,1,{'26CPU2Mem4GB.sh': 1},17.463886666666667,17.463886666666667,0.1436986807888889,0.0,0.00666666666666671,0.1296180340775185,0.009815216064453125
delight-nashorn-sandbox_dot,1-1,1,{'26CPU2Mem4GB.sh': 1},17.463886666666667,17.463886666666667,0.1436986807888889,0.0,0.00666666666666671,0.1296180340775185,0.0057942867279052734
delight-nashorn-sandbox_dot,2-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",19.953788353497494,9.980717695749439,0.17896318819325857,0.0,0,0.09344519988794711,0.4525411128997803
delight-nashorn-sandbox_dot,2-0.2,1,{'26CPU2Mem4GB.sh': 2},19.605937695749432,9.80477,0.1613241906731916,0.0,0.00666666666666671,0.08890105709169387,0.5410633087158203
delight-nashorn-sandbox_dot,2-0.4,1,{'26CPU2Mem4GB.sh': 2},19.605937695749432,9.80477,0.1613241906731916,0.0,0.00666666666666671,0.08890105709169387,0.6166956424713135
delight-nashorn-sandbox_dot,2-0.6,1,{'26CPU2Mem4GB.sh': 2},19.605937695749432,9.80477,0.1613241906731916,0.0,0.00666666666666671,0.08890105709169387,0.46768951416015625
delight-nashorn-sandbox_dot,2-0.8,1,{'26CPU2Mem4GB.sh': 2},19.605937695749432,9.80477,0.1613241906731916,0.0,0.00666666666666671,0.08890105709169387,0.49297165870666504
delight-nashorn-sandbox_dot,2-1,1,{'26CPU2Mem4GB.sh': 2},19.605937695749432,9.80477,0.1613241906731916,0.0,0.00666666666666671,0.08890105709169387,0.4544863700866699
delight-nashorn-sandbox_dot,4-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3}",24.1168570783297,6.338524362416104,0.20604599163964182,0.0,0,0.0778230152409645,0.9347450733184814
delight-nashorn-sandbox_dot,4-0.2,1,{'26CPU2Mem4GB.sh': 4},23.890039753914984,6.334791029082773,0.19657521044179713,0.0,0.00666666666666671,0.07590729379546965,1.3893043994903564
delight-nashorn-sandbox_dot,4-0.4,1,{'26CPU2Mem4GB.sh': 4},23.890039753914984,6.334791029082773,0.19657521044179713,0.0,0.00666666666666671,0.07590729379546965,0.9510562419891357
delight-nashorn-sandbox_dot,4-0.6,1,{'26CPU2Mem4GB.sh': 4},23.890039753914984,6.334791029082773,0.19657521044179713,0.0,0.00666666666666671,0.07590729379546965,0.9317507743835449
delight-nashorn-sandbox_dot,4-0.8,1,{'26CPU2Mem4GB.sh': 4},23.890039753914984,6.334791029082773,0.19657521044179713,0.0,0.00666666666666671,0.07590729379546965,0.7217559814453125
delight-nashorn-sandbox_dot,4-1,1,{'26CPU2Mem4GB.sh': 4},23.890039753914984,6.334791029082773,0.19657521044179713,0.0,0.00666666666666671,0.07590729379546965,0.7398755550384521
delight-nashorn-sandbox_dot,6-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 5}",28.237202469828574,6.334791029082773,0.23575288442491393,0.0,0,0.083742828592093,1.311720609664917
delight-nashorn-sandbox_dot,6-0.2,1,{'26CPU2Mem4GB.sh': 6},28.174141812080517,6.334791029082773,0.23182623021040252,0.0,0.00666666666666671,0.08295749774919073,1.152618169784546
delight-nashorn-sandbox_dot,6-0.4,1,{'26CPU2Mem4GB.sh': 6},28.174141812080517,6.334791029082773,0.23182623021040252,0.0,0.00666666666666671,0.08295749774919073,1.240142822265625
delight-nashorn-sandbox_dot,6-0.6,1,{'26CPU2Mem4GB.sh': 6},28.174141812080517,6.334791029082773,0.23182623021040252,0.0,0.00666666666666671,0.08295749774919073,1.285017967224121
delight-nashorn-sandbox_dot,6-0.8,1,{'26CPU2Mem4GB.sh': 6},28.174141812080517,6.334791029082773,0.23182623021040252,0.0,0.00666666666666671,0.08295749774919073,1.204047679901123
delight-nashorn-sandbox_dot,6-1,1,{'26CPU2Mem4GB.sh': 6},28.174141812080517,6.334791029082773,0.23182623021040252,0.0,0.00666666666666671,0.08295749774919073,1.234126091003418
delight-nashorn-sandbox_dot,8-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 7}",32.52130452799412,6.334791029082773,0.2710039041935194,0.0,0,0.09079303254581411,2.187455177307129
delight-nashorn-sandbox_dot,8-0.2,1,{'26CPU2Mem4GB.sh': 8},32.458243870246065,6.334791029082773,0.26707724997900795,0.0,0.00666666666666671,0.09000770170291181,1.8495545387268066
delight-nashorn-sandbox_dot,8-0.4,1,{'26CPU2Mem4GB.sh': 8},32.458243870246065,6.334791029082773,0.26707724997900795,0.0,0.00666666666666671,0.09000770170291181,1.7025208473205566
delight-nashorn-sandbox_dot,8-0.6,1,{'26CPU2Mem4GB.sh': 8},32.458243870246065,6.334791029082773,0.26707724997900795,0.0,0.00666666666666671,0.09000770170291181,2.095072031021118
delight-nashorn-sandbox_dot,8-0.8,1,{'26CPU2Mem4GB.sh': 8},32.458243870246065,6.334791029082773,0.26707724997900795,0.0,0.00666666666666671,0.09000770170291181,2.118685722351074
delight-nashorn-sandbox_dot,8-1,1,{'26CPU2Mem4GB.sh': 8},32.458243870246065,6.334791029082773,0.26707724997900795,0.0,0.00666666666666671,0.09000770170291181,2.481933832168579
delight-nashorn-sandbox_dot,10-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 9}",36.805406586159656,6.334791029082773,0.3062549239621248,0.0,0,0.09784323649953518,3.697221279144287
delight-nashorn-sandbox_dot,10-0.2,1,{'26CPU2Mem4GB.sh': 10},36.74234592841161,6.334791029082773,0.3023282697476134,0.0,0.00666666666666671,0.0970579056566329,2.767343521118164
delight-nashorn-sandbox_dot,10-0.4,1,{'26CPU2Mem4GB.sh': 10},36.74234592841161,6.334791029082773,0.3023282697476134,0.0,0.00666666666666671,0.0970579056566329,2.8152642250061035
delight-nashorn-sandbox_dot,10-0.6,1,{'26CPU2Mem4GB.sh': 10},36.74234592841161,6.334791029082773,0.3023282697476134,0.0,0.00666666666666671,0.0970579056566329,2.927560567855835
delight-nashorn-sandbox_dot,10-0.8,1,{'26CPU2Mem4GB.sh': 10},36.74234592841161,6.334791029082773,0.3023282697476134,0.0,0.00666666666666671,0.0970579056566329,2.8973686695098877
delight-nashorn-sandbox_dot,10-1,1,{'26CPU2Mem4GB.sh': 10},36.74234592841161,6.334791029082773,0.3023282697476134,0.0,0.00666666666666671,0.0970579056566329,2.844108819961548
delight-nashorn-sandbox_dot,12-0,2,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 11}",41.0895086443252,6.334791029082773,0.3415059437307302,0.0,0,0.10489344045325626,5.322721004486084
delight-nashorn-sandbox_dot,12-0.2,1,{'26CPU2Mem4GB.sh': 12},41.02644798657715,6.334791029082773,0.33757928951621885,0.0,0.00666666666666671,0.104108109610354,3.630563974380493
delight-nashorn-sandbox_dot,12-0.4,1,{'26CPU2Mem4GB.sh': 12},41.02644798657715,6.334791029082773,0.33757928951621885,0.0,0.00666666666666671,0.104108109610354,3.4826982021331787
delight-nashorn-sandbox_dot,12-0.6,1,{'26CPU2Mem4GB.sh': 12},41.02644798657715,6.334791029082773,0.33757928951621885,0.0,0.00666666666666671,0.104108109610354,4.200613021850586
delight-nashorn-sandbox_dot,12-0.8,1,{'26CPU2Mem4GB.sh': 12},41.02644798657715,6.334791029082773,0.33757928951621885,0.0,0.00666666666666671,0.104108109610354,3.4795148372650146
