project,category,num_confs,confs,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,period
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0,1,{'29CPU4Mem8GB.sh': 1},1852.0068965517253,1852.0068965517253,0.030477860160919558,0.0,0.0,0.04617571830749512
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.2,1,{'01noThrottling.sh': 1},1851.9448275862073,1851.9448275862073,0.03596476855172415,0.0,0.0034482758620689724,0.032347679138183594
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.4,1,{'01noThrottling.sh': 1},1851.9448275862073,1851.9448275862073,0.03596476855172415,0.0,0.0034482758620689724,0.032742977142333984
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.6,1,{'01noThrottling.sh': 1},1851.9448275862073,1851.9448275862073,0.03596476855172415,0.0,0.0034482758620689724,0.032324790954589844
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.8,1,{'01noThrottling.sh': 1},1851.9448275862073,1851.9448275862073,0.03596476855172415,0.0,0.0034482758620689724,0.032301902770996094
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-1,1,{'01noThrottling.sh': 1},1851.9448275862073,1851.9448275862073,0.03596476855172415,0.0,0.0034482758620689724,0.03240847587585449
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0,2,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",3569.586718494214,1784.8408874597305,0.06403257726052544,0.0,0.0,0.07906341552734375
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.2,1,{'01noThrottling.sh': 2},3569.521273666627,1784.7859931034486,0.0693201031346059,0.0,0.0034482758620689724,0.0952005386352539
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.4,1,{'01noThrottling.sh': 2},3569.521273666627,1784.7859931034486,0.0693201031346059,0.0,0.0034482758620689724,0.09823322296142578
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.6,1,{'01noThrottling.sh': 2},3569.521273666627,1784.7859931034486,0.0693201031346059,0.0,0.0034482758620689724,0.09540057182312012
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.8,1,{'01noThrottling.sh': 2},3569.521273666627,1784.7859931034486,0.0693201031346059,0.0,0.0034482758620689724,0.0955352783203125
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-1,1,{'01noThrottling.sh': 2},3569.521273666627,1784.7859931034486,0.0693201031346059,0.0,0.0034482758620689724,0.09395694732666016
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0,2,"{'01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 1}",7004.735886517123,1754.6828322873166,0.11645499322926597,0.0,0.0,0.15321040153503418
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.2,1,{'01noThrottling.sh': 4},7004.674165827467,1754.6828322873166,0.13603077230036942,0.0,0.0034482758620689724,0.1326584815979004
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.4,1,{'01noThrottling.sh': 4},7004.674165827467,1754.6828322873166,0.13603077230036942,0.0,0.0034482758620689724,0.1300961971282959
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.6,1,{'01noThrottling.sh': 4},7004.674165827467,1754.6828322873166,0.13603077230036942,0.0,0.0034482758620689724,0.1293635368347168
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-0.8,1,{'01noThrottling.sh': 4},7004.674165827467,1754.6828322873166,0.13603077230036942,0.0,0.0034482758620689724,0.1341230869293213
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,4-1,1,{'01noThrottling.sh': 4},7004.674165827467,1754.6828322873166,0.13603077230036942,0.0,0.0034482758620689724,0.12991666793823242
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0,2,"{'01noThrottling.sh': 5, '26CPU2Mem4GB.sh': 1}",10439.849223505547,1748.149877114903,0.18328054046527664,0.0,0.0,0.1778430938720703
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.2,1,{'01noThrottling.sh': 6},10439.827057988308,1748.149570218351,0.20274144146613293,0.0,0.0034482758620689724,0.1502974033355713
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.4,1,{'01noThrottling.sh': 6},10439.827057988308,1748.149570218351,0.20274144146613293,0.0,0.0034482758620689724,0.16846466064453125
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.6,1,{'01noThrottling.sh': 6},10439.827057988308,1748.149570218351,0.20274144146613293,0.0,0.0034482758620689724,0.1537940502166748
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.8,1,{'01noThrottling.sh': 6},10439.827057988308,1748.149570218351,0.20274144146613293,0.0,0.0034482758620689724,0.1514294147491455
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-1,1,{'01noThrottling.sh': 6},10439.827057988308,1748.149570218351,0.20274144146613293,0.0,0.0034482758620689724,0.1488630771636963
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0,2,"{'01noThrottling.sh': 7, '26CPU2Mem4GB.sh': 1}",13874.994963942252,1747.7772391838682,0.25010000718616654,0.0,0.0,0.2156970500946045
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0.2,1,{'01noThrottling.sh': 8},13874.979950149147,1747.7731047011096,0.26945211063189645,0.0,0.0034482758620689724,0.17383193969726562
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0.4,1,{'01noThrottling.sh': 8},13874.979950149147,1747.7731047011096,0.26945211063189645,0.0,0.0034482758620689724,0.17814397811889648
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0.6,1,{'01noThrottling.sh': 8},13874.979950149147,1747.7731047011096,0.26945211063189645,0.0,0.0034482758620689724,0.18129849433898926
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-0.8,1,{'01noThrottling.sh': 8},13874.979950149147,1747.7731047011096,0.26945211063189645,0.0,0.0034482758620689724,0.16771674156188965
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,8-1,1,{'01noThrottling.sh': 8},13874.979950149147,1747.7731047011096,0.26945211063189645,0.0,0.0034482758620689724,0.17521357536315918
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0,2,"{'01noThrottling.sh': 9, '26CPU2Mem4GB.sh': 1}",17310.152021620335,1747.7169827586208,0.31660328636116,0.0,0.0,0.2566056251525879
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.2,1,{'01noThrottling.sh': 10},17310.132842309988,1747.6945253907647,0.33616277979766,0.0,0.0034482758620689724,0.19632768630981445
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.4,1,{'01noThrottling.sh': 10},17310.132842309988,1747.6945253907647,0.33616277979766,0.0,0.0034482758620689724,0.18311166763305664
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.6,1,{'01noThrottling.sh': 10},17310.132842309988,1747.6945253907647,0.33616277979766,0.0,0.0034482758620689724,0.21056532859802246
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,10-0.8,1,{'01noThrottling.sh': 10},17310.132842309988,1747.6945253907647,0.33616277979766,0.0,0.0034482758620689724,0.1870555877685547
