project_id,period_ga,period_bf,trade-off,fitness_ratio
M1,75.68527007102966,650.4129955768585,1.0000000000000002,1.0
M2,135.1670742034912,864.5237123966217,1.0190239124206806,1.000077292769257
M3,2.183563470840454,478.72847580909723,1.0,1.0
M4,22.67591166496277,528.1904625892639,1.0000902403845613,1.0000446230984397
M5,0.6089918613433836,479.4927999973297,1.0,1.0
M6,1.531017780303955,470.58395767211914,1.0,1.0
M7,14.83137321472168,500.50739336013794,1.0,1.0
M8,16.370262145996094,519.3178434371948,1.0,1.0
M9,13.891214609146118,514.1006963253021,1.0,1.0
M10,5.200685501098633,490.4041097164154,1.0,1.0
M11,0.7296679019927976,472.5134806632995,1.0,1.0
M12,2.1892333030700684,476.37824511528015,1.0,1.0
M13,10.585388898849487,504.43472480773926,1.0,1.0
M14,229.9760320186615,1042.1235606670382,0.9999445050013063,1.000040704596923
M15,1.005061149597168,471.1718192100525,1.0,1.0
M16,3.759600877761841,488.54571866989136,1.0,1.0
M17,4.186199903488159,495.4487211704254,1.0,1.0
M18,7.185534954071045,495.40427684783936,0.9999999999999999,1.0
M19,1.9840061664581299,474.58063149452204,1.0,1.0
M20,23.40006375312805,543.8770043849945,1.0,1.0
M21,61.495392084121704,618.5092668533325,1.031233429940024,1.0006479186101553
M22,6.4958672523498535,494.48779940605164,1.0,1.0
M23,2.093881607055664,476.08267426490784,1.0,1.0
M24,8.891931772232056,496.18934774398804,1.0027319013213534,0.9992655561290854
M25,6.477480888366698,495.7889459133148,1.0,1.0
