project,category,confs,runtime,price,max_failure_rate,fitness,github_caliber_conf,github_caliber_runtime,github_caliber_price,github_caliber_max_failure_rate,github_caliber_score,github_caliber_runtime_rate,github_caliber_price_rate,github_caliber_score_rate,smart_baseline_conf,smart_baseline_runtime,smart_baseline_price,smart_baseline_max_failure_rate,smart_baseline_score,smart_baseline_runtime_rate,smart_baseline_price_rate,smart_baseline_score_rate
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2-0,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",18.43122333333331,0.2314491362222221,0.0,0.1675108357322001,27CPU2Mem8GB.sh,17.264513333333298,0.3060158933999994,0.0,0.18813345680007137,1.0675785049641335,0.7563304430064042,0.8903830216132858,24CPU1Mem4GB.sh,21.934176666666644,0.1959740169999998,0.0,0.17153502664564682,0.840297022014199,1.1810195033264146,0.9765401213260089
commons-exec_dot,2-0,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",44.671359594594605,0.4623603643603232,0.0,0.3714831346538601,,,,,,,,,,,,,,,,
delight-nashorn-sandbox_dot,4-0,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3}",6.366547695749438,0.2058086917285307,0.0,0.10191329083125,,,,,,,,,,,,,,,,
elastic-job-lite_dot,1-0,{'26CPU2Mem4GB.sh': 1},47.01422758620704,0.3868487359885069,0.0,0.356049895065013,27CPU2Mem8GB.sh,46.9165965517243,0.4555601525172429,0.0,0.3796406771158526,1.0020809487827003,0.8491715832715739,0.9378602360788633,26CPU2Mem4GB.sh,47.01422758620704,0.3868487359885069,0.0,0.35604989506501306,1.0,1.0,0.9999999999999999
elastic-job-lite_elastic-job-lite-core,2-0,{'24CPU1Mem4GB.sh': 2},20.07317,0.1874888525833333,0.0,0.1598309183863576,27CPU2Mem8GB.sh,17.46553,0.2965952514000002,0.0,0.18577966773978827,1.1493020824446782,0.6321370679346392,0.8603251385411255,24CPU1Mem4GB.sh,20.07317,0.1874888525833334,0.0,0.15983091838635766,1.0,0.9999999999999996,0.9999999999999997
esper_examples.rfidassetzone,2-0,"{'21CPU025Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",22.864059999999988,0.0630971588778976,0.0,0.1293923668009377,,,,,,,,,,,,,,,,
fastjson_dot,2-0,{'26CPU2Mem4GB.sh': 2},21.45481100334454,0.3530737552110004,0.0,0.2242701183314891,27CPU2Mem8GB.sh,21.46103240129288,0.4167731703190619,0.0,0.24659411263375386,0.9997101072384585,0.8471604708640523,0.9094706922893137,26CPU2Mem4GB.sh,21.45481100334454,0.3530737552110004,0.0,0.22427011833148913,1.0,1.0,0.9999999999999999
fluent-logger-java_dot,8-0,"{'28CPU2Mem16GB.sh': 1, '22CPU05Mem2GB.sh': 4, '24CPU1Mem4GB.sh': 3}",8.29371666666669,0.1671411510916673,0.0,0.0974244732197515,27CPU2Mem8GB.sh,8.126056666666663,0.3455086319666666,0.0,0.15906620941329974,1.0206323936538337,0.4837539083764265,0.6124774933601059,24CPU1Mem4GB.sh,8.29371666666669,0.1875298287833343,0.0,0.10456051041183492,1.0,0.8912776819349449,0.9317520815078605
http-request_dot,1-0,{'26CPU2Mem4GB.sh': 1},2.380049999999999,0.0195838447499999,0.0,0.0180246830854687,27CPU2Mem8GB.sh,2.3805000000000005,0.023114655,0.0,0.019262578667187502,0.9998109640831752,0.8472479796908021,0.9357357286837472,26CPU2Mem4GB.sh,2.380049999999999,0.0195838447499999,0.0,0.018024683085468708,1.0,1.0,0.9999999999999997
hutool_hutool-cron,1-0,{'26CPU2Mem4GB.sh': 1},1.8699233333333325,0.0153863524944444,0.0,0.014161372860846,27CPU2Mem8GB.sh,1.8711133333333336,0.0181685104666666,0.0,0.015140713202502293,0.9993640150071075,0.8468692313920522,0.9353174233896434,26CPU2Mem4GB.sh,1.8699233333333325,0.0153863524944444,0.0,0.014161372860846046,1.0,1.0,0.9999999999999968
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0,{'27CPU2Mem8GB.sh': 1},1091.7620689655168,10.601009689655168,0.0,8.83434267561422,27CPU2Mem8GB.sh,1091.7620689655168,10.60100968965517,0.0,8.83434267561422,1.0,0.9999999999999998,1.0,,,,,,,,
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0,{'21CPU025Mem2GB.sh': 1},1910.806896551724,3.027036591954022,0.0,10.027491959772508,,,,,,,,,,,,,,,,
luwak_luwak,4-0,{'26CPU2Mem4GB.sh': 4},3.9246466666666793,0.1291719422777781,0.0,0.0636298043986367,27CPU2Mem8GB.sh,3.9108266666666816,0.1518896783666673,0.0,0.07151615034062991,1.0035337797294344,0.8504326539289407,0.8897263638432619,26CPU2Mem4GB.sh,3.924650000000011,0.1291719422777781,0.0,0.06362982004303835,0.9999991506673636,1.0,0.9999997541341208
noxy_noxy-discovery-zookeeper,2-0,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",17.07287333333335,0.163506340627778,0.0,0.1373556853918358,27CPU2Mem8GB.sh,16.89495333333332,0.2040160655666663,0.0,0.15069905353955765,1.0105309553977282,0.8014385542316473,0.9114568550079228,26CPU2Mem4GB.sh,17.07287333333335,0.1747072920944447,0.0,0.14127601840516915,1.0,0.9358873271264969,0.9722505414748444
retrofit_retrofit-adapters.rxjava,2-0,{'26CPU2Mem4GB.sh': 2},2.9845900000000016,0.0491163204833333,0.0,0.031198349558809,27CPU2Mem8GB.sh,2.99332,0.0581301449333333,0.0,0.034394160804152765,0.9970835059398933,0.844937175705694,0.9070827381560098,26CPU2Mem4GB.sh,2.9845900000000016,0.0491163204833333,0.0,0.031198349558809024,1.0,1.0,0.9999999999999992
retrofit_retrofit,1-0,{'26CPU2Mem4GB.sh': 1},5.837603333333328,0.0480337460944444,0.0,0.0442095544471793,,,,,,,,,26CPU2Mem4GB.sh,5.837603333333328,0.0480337460944444,0.0,0.04420955444717936,1.0,1.0,0.9999999999999986
rxjava2-extras_dot,6-0,"{'28CPU2Mem16GB.sh': 1, '22CPU05Mem2GB.sh': 3, '24CPU1Mem4GB.sh': 2}",18.852430740740708,0.4190346239819548,0.0,0.2351426178021934,,,,,,,,,,,,,,,,
spring-boot_dot,2-0,"{'27CPU2Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",56.34714666666676,1.010773651705037,0.0,0.6182259958813374,27CPU2Mem8GB.sh,57.03583333333334,1.1076356567666668,0.0,0.6553599248940858,0.9879253685548574,0.9125506618806561,0.943338114519667,,,,,,,,
wro4j_wro4j-extensions,4-0,{'26CPU2Mem4GB.sh': 4},14.799083333333336,0.4870865593666668,0.0,0.2399371367623322,,,,,,,,,26CPU2Mem4GB.sh,14.799073333333332,0.4870865593666668,0.0,0.23993708982912737,1.0000006757179845,1.0,1.0000001956062936
