project,normal_ga,pareto_front_ga,normal_github_caliber,pareto_front_github_caliber,normal_smart_baseline,pareto_front_smart_baseline,pareto_front_num,ga_rate,github_caliber_rate,smart_baseline_rate
activiti_dot,10/12,9,10/12,9,10/12,9,27,0.3333333333333333,0.3333333333333333,0.3333333333333333
assertj-core_dot,10/12,8,10/12,7,10/12,7,22,0.36363636363636365,0.3181818181818182,0.3181818181818182
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,12/12,12,12/12,12,12/12,12,36,0.3333333333333333,0.3333333333333333,0.3333333333333333
commons-exec_dot,12/12,12,10/12,5,12/12,12,29,0.41379310344827586,0.1724137931034483,0.41379310344827586
db-scheduler_dot,10/12,10,10/12,10,10/12,10,30,0.3333333333333333,0.3333333333333333,0.3333333333333333
delight-nashorn-sandbox_dot,12/12,10,10/12,3,12/12,8,21,0.47619047619047616,0.14285714285714285,0.38095238095238093
elastic-job-lite_dot,12/12,12,12/12,12,12/12,0,24,0.5,0.5,0.0
elastic-job-lite_elastic-job-lite-core,12/12,11,12/12,11,12/12,0,22,0.5,0.5,0.0
esper_examples.rfidassetzone,12/12,12,10/12,10,12/12,0,22,0.5454545454545454,0.45454545454545453,0.0
fastjson_dot,12/12,11,12/12,7,12/12,12,30,0.36666666666666664,0.23333333333333334,0.4
fluent-logger-java_dot,12/12,12,12/12,0,12/12,12,24,0.5,0.0,0.5
handlebars.java_dot,10/12,10,10/12,10,10/12,10,30,0.3333333333333333,0.3333333333333333,0.3333333333333333
hbase_dot,6/12,6,6/12,6,6/12,6,18,0.3333333333333333,0.3333333333333333,0.3333333333333333
http-request_dot,12/12,12,12/12,6,12/12,0,18,0.6666666666666666,0.3333333333333333,0.0
httpcore_dot,10/12,5,10/12,0,10/12,10,15,0.3333333333333333,0.0,0.6666666666666666
hutool_hutool-cron,12/12,7,12/12,0,12/12,6,13,0.5384615384615384,0.0,0.46153846153846156
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,12/12,7,12/12,0,12/12,0,7,1.0,0.0,0.0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,12/12,9,10/12,7,12/12,6,22,0.4090909090909091,0.3181818181818182,0.2727272727272727
logback_dot,10/12,8,10/12,0,10/12,8,16,0.5,0.0,0.5
luwak_luwak,12/12,11,12/12,12,12/12,0,23,0.4782608695652174,0.5217391304347826,0.0
ninja_dot,2/12,1,2/12,2,2/12,0,3,0.3333333333333333,0.6666666666666666,0.0
noxy_noxy-discovery-zookeeper,12/12,12,12/12,12,12/12,0,24,0.5,0.5,0.0
okhttp_dot,8/12,6,6/12,6,6/12,6,18,0.3333333333333333,0.3333333333333333,0.3333333333333333
orbit_dot,10/12,5,10/12,10,10/12,10,25,0.2,0.4,0.4
retrofit_retrofit-adapters.rxjava,12/12,6,12/12,8,12/12,0,14,0.42857142857142855,0.5714285714285714,0.0
retrofit_retrofit,12/12,12,10/12,10,12/12,0,22,0.5454545454545454,0.45454545454545453,0.0
rxjava2-extras_dot,12/12,8,10/12,7,10/12,0,15,0.5333333333333333,0.4666666666666667,0.0
spring-boot_dot,12/12,7,12/12,12,12/12,0,19,0.3684210526315789,0.631578947368421,0.0
timely_server,10/12,7,10/12,5,10/12,8,20,0.35,0.25,0.4
wro4j_wro4j-extensions,12/12,7,10/12,6,12/12,0,13,0.5384615384615384,0.46153846153846156,0.0
yawp_yawp-testing.yawp-testing-appengine,10/12,10,10/12,0,10/12,10,20,0.5,0.0,0.5
zxing_dot,10/12,10,10/12,10,10/12,10,30,0.3333333333333333,0.3333333333333333,0.3333333333333333
