factor_category,ga_non_nan,ga_pareto_front,github_caliber_non_nan,github_caliber_pareto_front,smart_baseline_non_nan,smart_baseline_pareto_front,pareto_front_number,ga_rate,github_caliber_rate,smart_baseline_rate
a0.01b0.99,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.02b0.98,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.03b0.97,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.04b0.96,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.05b0.95,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.06b0.94,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.07b0.93,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.08b0.92,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.09b0.91,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.1b0.9,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.2b0.8,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.3b0.7,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.4b0.6,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.5b0.5,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.6b0.4,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.7b0.3,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.8b0.2,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
a0.9b0.1,19,1,12,1,18,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
